729.07283	-39
729.16237	-35
729.25191	10
729.34143	-20
729.43095	-9
729.52046	-15
729.60996	-35
729.69946	-19
729.78895	-32
729.87843	-2
729.9679	8
730.05737	-14
730.14682	-25
730.23628	-7
730.32572	1
730.41516	-27
730.50458	-8
730.59401	9
730.68342	-3
730.77283	-1
730.86223	2
730.95162	9
731.041	-5
731.13038	-28
731.21975	-38
731.30911	-17
731.39847	-24
731.48782	15
731.57716	6
731.66649	11
731.75581	-36
731.84513	-21
731.93444	-13
732.02374	26
732.11304	-27
732.20233	-11
732.29161	-71
732.38088	-54
732.47014	9
732.5594	-14
732.64865	8
732.7379	-43
732.82713	12
732.91636	-57
733.00558	-9
733.09479	-2
733.184	-24
733.27319	7
733.36238	22
733.45157	26
733.54074	-26
733.62991	-38
733.71907	-1
733.80822	7
733.89737	-34
733.9865	-3
734.07563	-35
734.16476	19
734.25387	-48
734.34298	-29
734.43208	-5
734.52117	-11
734.61025	-18
734.69933	-42
734.7884	-18
734.87746	-18
734.96652	-25
735.05556	43
735.1446	-7
735.23363	18
735.32266	10
735.41167	10
735.50068	-2
735.58968	-15
735.67867	31
735.76766	25
735.85664	7
735.94561	6
736.03457	14
736.12352	-27
736.21247	-30
736.30141	20
736.39034	-5
736.47927	27
736.56818	-43
736.65709	16
736.74599	22
736.83489	-35
736.92377	41
737.01265	-10
737.10152	5
737.19038	8
737.27924	-15
737.36809	9
737.45693	-9
737.54576	-17
737.63458	36
737.7234	-6
737.81221	6
737.90101	-9
737.9898	4
738.07859	33
738.16737	29
738.25614	-27
738.3449	-20
738.43365	-9
738.5224	-35
738.61114	-20
738.69987	-11
738.78859	-1
738.87731	-1
738.96602	-20
739.05472	7
739.14341	-25
739.23209	-15
739.32077	12
739.40944	-10
739.4981	17
739.58675	17
739.6754	-45
739.76404	23
739.85267	-10
739.94129	-37
740.0299	-16
740.11851	-24
740.20711	-21
740.2957	-34
740.38428	13
740.47286	-16
740.56143	-20
740.64999	-17
740.73854	-27
740.82708	-27
740.91562	21
741.00414	11
741.09266	-19
741.18118	-1
741.26968	-21
741.35818	30
741.44667	4
741.53515	-56
741.62362	-4
741.71208	-8
741.80054	14
741.88899	-30
741.97743	-16
742.06587	-17
742.15429	-13
742.24271	-14
742.33112	12
742.41952	-37
742.50791	-18
742.5963	-1
742.68468	-17
742.77305	28
742.86141	-11
742.94976	-12
743.03811	-11
743.12645	3
743.21478	34
743.3031	0
743.39141	13
743.47972	-23
743.56802	-63
743.65631	-38
743.74459	-7
743.83286	-11
743.92113	-3
744.00939	-10
744.09764	2
744.18588	-19
744.27411	-8
744.36234	19
744.45056	-13
744.53877	7
744.62697	-17
744.71516	1
744.80335	1
744.89153	-15
744.9797	40
745.06786	15
745.15601	-12
745.24416	4
745.3323	-36
745.42043	13
745.50855	2
745.59666	29
745.68477	-4
745.77286	-16
745.86095	8
745.94904	6
746.03711	-17
746.12517	-14
746.21323	24
746.30128	-11
746.38932	4
746.47735	-18
746.56538	11
746.65339	-17
746.7414	8
746.8294	22
746.91739	9
747.00538	12
747.09335	-4
747.18132	18
747.26928	21
747.35723	-3
747.44517	24
747.53311	23
747.62104	12
747.70895	52
747.79686	-12
747.88477	22
747.97266	35
748.06055	60
748.14842	21
748.23629	10
748.32415	3
748.41201	16
748.49985	9
748.58769	13
748.67552	15
748.76334	16
748.85115	7
748.93895	-1
749.02675	13
749.11454	33
749.20232	-31
749.29009	-6
749.37785	21
749.4656	-21
749.55335	12
749.64109	38
749.72882	2
749.81654	1
749.90425	35
749.99196	-21
750.07965	32
750.16734	39
750.25502	20
750.34269	9
750.43036	43
750.51801	28
750.60566	16
750.6933	-6
750.78093	12
750.86855	-10
750.95616	16
751.04377	20
751.13136	37
751.21895	38
751.30653	46
751.39411	25
751.48167	3
751.56922	22
751.65677	-16
751.74431	-5
751.83184	56
751.91936	0
752.00688	12
752.09438	27
752.18188	53
752.26937	7
752.35685	15
752.44432	3
752.53178	32
752.61924	-2
752.70668	23
752.79412	19
752.88155	53
752.96897	27
753.05638	10
753.14379	10
753.23118	40
753.31857	18
753.40595	34
753.49332	35
753.58068	57
753.66804	28
753.75538	44
753.84272	8
753.93005	15
754.01737	0
754.10468	12
754.19198	22
754.27928	13
754.36657	-3
754.45384	20
754.54111	-3
754.62837	24
754.71563	70
754.80287	28
754.89011	39
754.97733	-5
755.06455	39
755.15176	9
755.23896	9
755.32615	3
755.41334	-13
755.50052	34
755.58768	22
755.67484	21
755.76199	-6
755.84913	7
755.93627	29
756.02339	19
756.11051	35
756.19761	62
756.28471	6
756.3718	43
756.45889	27
756.54596	4
756.63302	9
756.72008	0
756.80713	20
756.89417	-12
756.9812	13
757.06822	46
757.15523	18
757.24224	20
757.32923	14
757.41622	-14
757.5032	28
757.59017	-14
757.67713	13
757.76408	64
757.85103	-8
757.93796	26
758.02489	3
758.11181	15
758.19872	-1
758.28562	37
758.37251	1
758.4594	8
758.54627	17
758.63314	22
758.72	-12
758.80685	16
758.89369	33
758.98052	10
759.06734	30
759.15416	26
759.24096	16
759.32776	35
759.41455	-13
759.50133	8
759.5881	33
759.67486	-23
759.76161	28
759.84836	-6
759.9351	35
760.02182	40
760.10854	-1
760.19525	-5
760.28195	-3
760.36865	4
760.45533	3
760.542	13
760.62867	11
760.71533	12
760.80198	18
760.88862	7
760.97525	0
761.06187	40
761.14848	24
761.23509	25
761.32168	20
761.40827	26
761.49485	31
761.58142	12
761.66798	33
761.75453	-1
761.84108	8
761.92761	18
762.01414	-12
762.10065	-1
762.18716	-3
762.27366	-14
762.36015	41
762.44663	53
762.53311	18
762.61957	20
762.70602	1
762.79247	33
762.87891	-7
762.96534	-21
763.05176	75
763.13817	54
763.22457	-12
763.31096	2
763.39735	38
763.48372	2
763.57009	4
763.65644	-12
763.74279	7
763.82913	19
763.91546	-43
764.00179	17
764.0881	21
764.1744	38
764.2607	4
764.34698	-5
764.43326	30
764.51953	4
764.60579	9
764.69204	3
764.77828	13
764.86451	2
764.95074	-17
765.03695	11
765.12316	10
765.20935	17
765.29554	5
765.38172	21
765.46789	14
765.55405	13
765.6402	11
765.72635	-28
765.81248	43
765.89861	16
765.98472	-7
766.07083	13
766.15693	34
766.24301	1
766.32909	-23
766.41517	-1
766.50123	24
766.58728	32
766.67332	8
766.75936	7
766.84538	26
766.9314	22
767.01741	-10
767.10341	-12
767.1894	12
767.27538	-36
767.36135	1
767.44731	-24
767.53327	61
767.61921	21
767.70514	20
767.79107	-13
