864.26629	1660
864.34764	1665
864.42897	1630
864.5103	1645
864.59162	1673
864.67292	1590
864.75422	1636
864.83551	1611
864.91678	1564
864.99805	1613
865.07931	1641
865.16056	1600
865.2418	1619
865.32303	1641
865.40425	1596
865.48546	1668
865.56666	1633
865.64785	1652
865.72903	1697
865.8102	1760
865.89136	1698
865.97252	1716
866.05366	1700
866.13479	1765
866.21591	1705
866.29703	1798
866.37813	1756
866.45922	1735
866.54031	1760
866.62138	1867
866.70244	1832
866.7835	1863
866.86454	1826
866.94558	1844
867.0266	1926
867.10762	1966
867.18863	1918
867.26962	1939
867.35061	1982
867.43158	2009
867.51255	2055
867.59351	2049
867.67445	2074
867.75539	2122
867.83632	2108
867.91724	2207
867.99814	2264
868.07904	2230
868.15993	2226
868.24081	2274
868.32168	2335
868.40254	2410
868.48338	2337
868.56422	2399
868.64505	2388
868.72587	2440
868.80668	2453
868.88748	2535
868.96827	2526
869.04905	2582
869.12982	2577
869.21058	2663
869.29133	2614
869.37207	2677
869.4528	2706
869.53352	2730
869.61424	2650
869.69494	2794
869.77563	2804
869.85631	2855
869.93698	2845
870.01764	2922
870.09829	2865
870.17893	2884
870.25957	2986
870.34019	2979
870.4208	3023
870.5014	3097
870.58199	3085
870.66258	3184
870.74315	3147
870.82371	3148
870.90426	3110
870.98481	3167
871.06534	3223
871.14586	3247
871.22637	3236
871.30688	3255
871.38737	3284
871.46785	3319
871.54832	3346
871.62879	3334
871.70924	3349
871.78968	3331
871.87011	3385
871.95054	3345
872.03095	3344
872.11135	3348
872.19175	3443
872.27213	3541
872.3525	3454
872.43286	3405
872.51322	3362
872.59356	3383
872.67389	3361
872.75422	3463
872.83453	3410
872.91483	3405
872.99512	3376
873.07541	3440
873.15568	3454
873.23594	3463
873.31619	3447
873.39644	3373
873.47667	3523
873.55689	3387
873.6371	3443
873.71731	3374
873.7975	3329
873.87768	3367
873.95785	3350
874.03801	3368
874.11817	3387
874.19831	3345
874.27844	3293
874.35856	3354
874.43867	3283
874.51877	3369
874.59887	3282
874.67895	3168
874.75902	3264
874.83908	3141
874.91913	3079
874.99917	3077
875.0792	3107
875.15922	3036
875.23923	3090
875.31923	3060
875.39922	2979
875.4792	3033
875.55917	2987
875.63913	3003
875.71908	2977
875.79902	3014
875.87895	2915
875.95887	2892
876.03878	2913
876.11868	2867
876.19856	2815
876.27844	2830
876.35831	2723
876.43817	2728
876.51802	2789
876.59785	2719
876.67768	2723
876.7575	2710
876.8373	2665
876.9171	2648
876.99689	2626
877.07666	2631
877.15643	2620
877.23619	2585
877.31593	2608
877.39567	2435
877.47539	2494
877.55511	2507
877.63481	2461
877.71451	2486
877.79419	2482
877.87386	2340
877.95353	2381
878.03318	2402
878.11282	2336
878.19246	2331
878.27208	2404
878.35169	2268
878.43129	2248
878.51088	2237
878.59047	2268
878.67004	2289
878.7496	2261
878.82915	2234
878.90869	2311
878.98822	2240
879.06774	2216
879.14725	2254
879.22675	2456
879.30624	2766
879.38571	2945
879.46518	2524
879.54464	2710
879.62409	2242
879.70352	2266
879.78295	2192
879.86237	2184
879.94177	2190
880.02117	2159
880.10055	2196
880.17993	2116
880.25929	2140
880.33865	2203
880.41799	2254
880.49732	2220
880.57665	2188
880.65596	2312
880.73526	2263
880.81455	2260
880.89384	2323
880.97311	2341
881.05237	2317
881.13162	2363
881.21086	2366
881.29009	2407
881.36931	2379
881.44851	2422
881.52771	2433
881.6069	2453
881.68608	2450
881.76525	2453
881.8444	2543
881.92355	2528
882.00268	2542
882.08181	2614
882.16092	2589
882.24003	2604
882.31912	2669
882.3982	2689
882.47728	2699
882.55634	2818
882.63539	2783
882.71443	2832
882.79346	2802
882.87248	2868
882.95149	2969
883.03049	2970
883.10948	2966
883.18846	3026
883.26743	3045
883.34639	3139
883.42533	3205
883.50427	3203
883.5832	3232
883.66211	3228
883.74102	3277
883.81991	3353
883.8988	3369
883.97767	3397
884.05653	3540
884.13538	3396
884.21423	3510
884.29306	3540
884.37188	3550
884.45069	3593
884.52949	3639
884.60828	3736
884.68705	3776
884.76582	3808
884.84458	3919
884.92333	3813
885.00206	3936
885.08079	3945
885.1595	3999
885.23821	3994
885.3169	4006
885.39558	4112
885.47426	4130
885.55292	4116
885.63157	4194
885.71021	4278
885.78884	4269
885.86746	4255
885.94607	4271
886.02467	4290
886.10325	4337
886.18183	4325
886.2604	4348
886.33895	4419
886.4175	4437
886.49603	4491
886.57456	4450
886.65307	4471
886.73157	4462
886.81006	4489
886.88854	4526
886.96702	4528
887.04547	4526
887.12392	4561
887.20236	4568
887.28079	4528
887.35921	4597
887.43761	4571
887.51601	4711
887.59439	4614
887.67277	4720
887.75113	4656
887.82948	4662
887.90783	4625
887.98616	4633
888.06448	4661
888.14279	4752
888.22109	4540
888.29938	4638
888.37765	4536
888.45592	4669
888.53418	4627
888.61242	4649
888.69066	4546
888.76888	4676
888.84709	4512
888.9253	4535
889.00349	4579
889.08167	4645
889.15984	4465
889.238	4431
889.31615	4539
889.39428	4531
889.47241	4549
889.55053	4548
889.62863	4411
889.70673	4383
889.78481	4453
889.86288	4396
889.94094	4376
890.019	4343
890.09704	4304
890.17507	4360
890.25309	4235
890.33109	4263
890.40909	4292
890.48708	4169
890.56505	4093
890.64302	4261
890.72097	4167
890.79891	4070
890.87685	4129
890.95477	4030
891.03268	4120
891.11058	3981
891.18847	4016
891.26634	3938
891.34421	3933
891.42207	3935
891.49991	3929
891.57775	3770
891.65557	3709
891.73338	3658
891.81118	3738
891.88897	3767
891.96675	3691
892.04452	3573
892.12228	3599
892.20003	3564
892.27776	3545
892.35549	3540
892.4332	3467
892.51091	3469
892.5886	3403
892.66628	3344
892.74395	3379
892.82161	3368
892.89926	3259
892.9769	3201
893.05452	3237
893.13214	3217
893.20974	3161
893.28734	3072
893.36492	3035
893.44249	3038
893.52005	2969
893.5976	2994
893.67514	2950
893.75267	2902
893.83019	2872
893.90769	2875
893.98519	2846
894.06267	2841
894.14014	2807
894.21761	2768
894.29506	2661
894.3725	2661
894.44993	2619
894.52734	2679
894.60475	2612
894.68215	2519
894.75953	2560
894.8369	2576
894.91427	2497
894.99162	2480
895.06896	2426
895.14629	2436
895.22361	2368
895.30091	2372
895.37821	2389
895.4555	2345
895.53277	2297
895.61003	2355
895.68729	2309
895.76453	2172
895.84176	2211
895.91897	2177
895.99618	2167
896.07338	2186
896.15056	2154
896.22774	2124
896.3049	2103
896.38205	2168
896.4592	2165
896.53632	2061
896.61344	2038
896.69055	1972
896.76765	2030
896.84473	1997
896.92181	1993
896.99887	1950
897.07592	1897
897.15296	1918
897.22999	1919
897.30701	1897
897.38402	1937
897.46101	1861
897.538	1851
897.61497	1910
897.69194	1882
897.76889	1859
897.84583	1881
897.92276	1849
897.99968	1828
898.07658	1876
898.15348	1808
898.23036	1899
898.30723	1826
898.3841	1780
898.46095	1831
898.53779	1834
898.61462	1859
898.69143	1819
898.76824	1798
898.84503	1824
898.92182	1793
898.99859	1787
899.07535	1819
899.1521	1769
899.22884	1819
899.30556	1788
899.38228	1851
